"division_numeric_code","start_date","end_date","is_in_union","age_range","data_series_type","group_type_relative_to_baseline","contraceptive_use_modern","contraceptive_use_traditional","contraceptive_use_any","unmet_need_modern","unmet_need_any","is_pertaining_to_methods_used_since_last_pregnancy","pertaining_to_methods_used_since_last_pregnancy_reason","has_geographical_region_bias","geographical_region_bias_reason","has_non_pregnant_and_other_positive_biases","non_pregnant_and_other_positive_biases_reason","age_group_bias","modern_method_bias","has_traditional_method_bias","traditional_method_bias_reason","has_absence_of_probing_questions_bias","se_modern","se_traditional","se_unmet_need","se_log_r_modern_no_use","se_log_r_traditional_no_use","se_log_r_unmet_no_need","source_id","record_id","region_code","possible_outlier","possible_outlier_userinput"
8,2017.693151,2018.136986,"Y","15-49","DHS","MW",0.03653840429,0.423548471,0.4600868753,,0.1516977482,"N",,"N","","N","","None","None","N","","N",0.002850003,0.017040649,0.007323848,0.08118024,0.070972369,0.047678736,"7474","Y_1799",,0,
12,1986,1987,"Y","15-49","Other","MW",0.313,0.045,0.358,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"693","Y_1736",,0,
12,1992.415301,1992.579235,"Y","15-49","Other","MW",0.429,0.078,0.507,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"32","Y_1192",,0,
12,1995.747945,1995.830137,"Y","15-49","MICS","MW",0.494,0.075,0.569,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"713","Y_1755",,1,
12,2000.336066,2000.355191,"Y","15-49","MICS","MW",0.55,0.09,0.64,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"1933","Y_901",,1,
12,2002.665753,2002.912329,"Y","15-49","Other","MW",0.517,0.049,0.57,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"149","Y_647",,0,
12,2006.227397,2006.438356,"Y","15-49","MICS","MW",0.539,0.075,0.614,,0.108,"N",,"N","","N","","None","None","N","","Y",,,,,,,"1913","Y_882",,1,
12,2012.803279,2013.082192,"Y","15-49","MICS","MW",0.4787687673,0.09244859216,0.5712173594,,0.07,"N",,"N","","N","","None","None","N","","Y",0.005820653,0.00446648,0,0.022541823,0.053498578,,"4984","Y_1341",,1,
12,2018.980822,2019.30411,"Y","15-49","MICS","MW",0.455153276924768,0.081643453602129,0.536796730526897,,0.141,"N",,"N","","N","","None","None","N","","N",0.00613308877078618,0.00415590404879799,,0.0236558175409117,0.0546294126422604,,"NaN","new_29",,1,
24,1996.581967,1996.997268,"Y","15-49","MICS","MW",0.040257,0.040743,0.081,,,"N",,"N","","Y","","None","None","Y","Traditional methods include folk methods.","N",,,,,,,"1908","Y_879",,1,
24,2001.246575,2001.830137,"Y","15-49","MICS","MW",0.04864123817,0.014068746,0.06270998417,,,"N",,"N","","N","","None","None","N","","N",0.004512082,0.002366087,0,0.09766296,0.171242075,,"1937","Y_905",,1,
24,2008.393443,2009.493151,"Y","15-49","National survey","MW",0.1168421634,0.08315783664,0.2,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"4873","Y_1297",,1,
24,2015.832877,2016.161202,"Y","15-49","DHS","MW",0.1253167678,0.01133314418,0.136649912,,0.3799854314,"N",,"N","","N","","None","None","N","","N",0.008281604,0.001728826,0.008277041,0.075811017,0.155356055,0.032659179,"5805","Y_1633",,0,
24,2023.59836,2024.08493,"Y","15-49","DHS","MW",0.149,0.022,0.171,,0.372,"N",,"N",,"N",,"None","None","N",,"N",,,,,,,,,,0,
28,1981,1981,"Y","15-49","Other","MW",0.446,0.024,0.482,,,"N",,"N","","Y","","?","None","N","","N",,,,,,,"2707","Y_971",,1,
28,1988,1988,"Y","15-49","Other","MW",,,0.526,,,"N",,"N","","Y","","?","None","N","","N",,,,,,,"5083","Y_1398",,1,
31,2000.581967,2000.65847,"Y","15-49","MICS","MW",0.1667446211,0.3840037418,0.550748363,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"1912","Y_881",,1,
31,2001.246575,2001.578082,"Y","15-49","Other","MW",0.119,0.435,0.554,,0.115,"N",,"N","","N","","?","None","N","","N",,,,,,,"1670","Y_663",,1,
31,2006.49589,2006.912329,"Y","15-49","DHS","MW",0.1428765423,0.3684373478,0.5113138901,,0.1540406,"N",,"N","","N","","None","None","N","","N",0.006937499,0.010738062,0.007025425,0.063018527,0.050775299,0.053042072,"179","Y_782",,0,
31,2011.580822,2011.830137,"Y","15-49","National survey","MW",0.139,0.41,0.549,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"7530","Y_1836",,1,
31,2023.3315,2023.66575,"Y","15-49","MICS","MW",0.182704682008358,0.239762000023545,0.422466682031903,,0.205,"N",,"N",,"N",,"?","None","N",,"N",0.00677322747583762,0.00845083056996079,,0.0476171187616462,0.0485455374603102,,,,,1,
32,2001,2001,"Y","15-49","National survey","SA",,,0.653,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"2906","Y_1126",,1,
32,2004,2005,"Y","15-49","National survey","SA",0.699,0.09,0.789,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"5404","Y_1499",,1,
32,2011.665753,2012.081967,"Y","15-49","MICS","AL",0.5345983468,0.01979383052,0.5543921773,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"4985","Y_1342",,1,
32,2013.328767,2013.493151,"Y","15-49","National survey","MW",0.6893258395,0.03437626246,0.723702102,,,"N",,"Y","Data pertain to urban centers with 2,000 or more people.","N","","None","None","N","","N",,,,,,,"6003","Y_1666",,1,
32,2019.747945,2020.245902,"Y","15-49","MICS","MW",0.682475289557093,0.0173245324849972,0.69979982204209,,0.1254186879,"N",,"N","","N","","None","None","N","","Y",0.0106708639783896,0.00240070480492838,,0.0512096470014504,0.148937265528315,,"7574","Y_1843",,0,
36,1986,1986,"Y","15-49","National survey","MW",0.722,0.039,0.761,,,"N",,"N","","N","","+","None","N","","Y",,,,,,,"2757","Y_1000",,1,
36,1995,1995,"Y","15-49","National survey","AL",0.637652,0.029348,0.667,,,"N",,"N","","N","","+","None","N","","N",,,,,,,"2847","Y_1076",,1,
36,2001,2002,"Y","15-49","National survey","AL",,,0.708,,,"N",,"N","","Y","","-","None","N","","Y",,,,,,,"2917","Y_1130",,1,
36,2005.643836,2006.186301,"Y","15-49","National survey","MW",0.63058,0.02104,0.65162,,,"N",,"N","","N","","+","None","N","","Y",,,,,,,"5603","Y_1575",,1,
36,2008.620219,2009.158904,"Y","15-49","National survey","MW",0.5921,0.0275,0.6196,,,"N",,"N","","N","","+","None","N","","Y",,,,,,,"6026","Y_1679",,1,
36,2011.572603,2012.122951,"Y","15-49","National survey","MW",0.6512,0.0263,0.6775,,,"N",,"N","","N","","+","None","N","","Y",,,,,,,"6002","Y_1665",,1,
36,2015.569863,2016.101093,"Y","15-49","National survey","MW",0.6465,0.0228,0.6693,,,"N",,"N","","N","","+","None","N","","Y",,,,,,,"7344","Y_1769",,1,
40,1995.915068,1996.412568,"Y","15-49","Other","MW",0.468325548,0.0419823931,0.5103079411,,,"N",,"N","","N","","+","None","N","","Y",,,,,,,"2848","Y_1077",,1,
40,2008.704918,2009.123288,"Y","15-49","Other","MW",0.676,0.02,0.696,,,"N",,"N","","N","","+","+","N","","Y",,,,,,,"5426","Y_1507",,1,
40,2012.352459,2012.377049,"Y","15-49","National survey","AL",,,0.81,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"7721","Y_1901",,1,
40,2012.724044,2013.4,"Y","15-49","Other","MW",0.6301042287,0.02642151841,0.6565257471,,,"N",,"N","","N","","+","+","N","","Y",,,,,,,"6025","Y_1678",,1,
40,2015.052055,2015.09863,"Y","15-49","National survey","AL",,,0.71,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"7722","Y_1902",,1,
40,2019.087671,2019.131507,"Y","15-49","National survey","AL",,,0.79,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"7723","Y_1903",,1,
44,1988,1988,"Y","15-49","Other","MW",0.6012502,0.0160498,0.6173,,,"N",,"N","","Y","","?","None","N","","N",,,,,,,"2777","Y_1013",,1,
48,1989,1989,"Y","15-49","Other","MW",0.303,0.235,0.538,,,"N",,"Y","Data pertain to nationals of the country.","N","","None","None","N","","N",,,,,,,"145","Y_644",,1,
48,1995,1995,"Y","15-49","Other","MW",0.306,0.312,0.618,,,"N",,"Y","Data pertain to nationals of the country.","N","","None","None","N","","N",,,,,,,"181","Y_804",,1,
48,2000,2000,"Y","15-49","MICS","MW",,,0.534,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"9008","Y_1974",,0,
50,1975,1976,"Y","15-49","Other","MW",0.05,0.03,0.079,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"749","Y_1810",,1,
50,1979.665753,1980,"Y","15-49","Other","MW",0.088,0.033,0.121,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"822","Y_1963",,1,
50,1981.328767,1981.580822,"Y","15-49","Other","MW",0.11,0.076,0.186,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"653","Y_1712",,1,
50,1983.747945,1984,"Y","15-49","Other","MW",0.138,0.054,0.191,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"164","Y_659",,1,
50,1985.915068,1986.246575,"Y","15-49","Other","MW",0.184,0.069,0.253,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"801","Y_1950",,1,
50,1988.915301,1989.246575,"Y","15-49","National survey","MW",0.232,0.076,0.308,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"828","Y_1968",,1,
50,1989.161644,1989.49589,"Y","15-49","Other","MW",0.245,0.07,0.314,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"161","Y_657",,1,
50,1991,1991,"Y","15-49","Other","MW",0.312,0.087,0.399,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"2802","Y_1037",,1,
50,1993.832877,1994.243836,"Y","15-49","DHS","MW",0.3620771179,0.08360339735,0.4456805152,,0.2173892891,"N",,"N","","N","","None","None","N","","N",0.007854302,0.003535727,0.005245509,0.035018878,0.048239867,0.035563338,"1814","Y_807",,0,
50,1996.833333,1997.243836,"Y","15-49","DHS","MW",0.4156279832,0.07678646115,0.4924144444,,0.1979962585,"N",,"N","","N","","None","None","N","","N",0.00848849,0.003955258,0.005985992,0.036626906,0.058932405,0.037250849,"1815","Y_808",,0,
50,1999.832877,2000.245902,"Y","15-49","DHS","MW",0.4346984538,0.1030144609,0.5377129147,,0.1847256463,"N",,"N","","N","","None","None","N","","N",0.008344674,0.004461244,0.005666179,0.035877468,0.051247595,0.037541513,"1816","Y_809",,0,
50,2001,2001.493151,"Y","15-49","National survey","MW",0.439,0.063,0.502,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"5047","Y_1383",,1,
50,2004,2004.412568,"Y","15-49","DHS","MW",0.4728889795,0.1077758504,0.5806648299,,0.1519374699,"N",,"N","","N","","None","None","N","","N",0.009036736,0.003977748,0.005300453,0.039323823,0.045732447,0.039972169,"1813","Y_806",,0,
50,2007.161644,2007.663014,"Y","15-49","DHS","MW",0.4745693037,0.08333395107,0.5579032548,,0.1678745894,"N",,"N","","N","","None","None","N","","N",0.008123493,0.003673924,0.005328499,0.034578216,0.051463823,0.039499422,"1840","Y_831",,0,
50,2011.49589,2011.99726,"Y","15-49","DHS","MW",0.5205129875,0.0916137593,0.6121267468,,0.134735596,"N",,"N","","N","","None","None","N","","N",0.005521121,0.00309957,0.003462964,0.023031652,0.038736759,0.031618065,"5048","Y_1384",,0,
50,2012.915301,2013.326027,"Y","15-49","MICS","MW",0.5926917143,0.02488371593,0.6175754302,,0.138952247,"N",,"N","","N","","None","None","N","","Y",0.003622931,0.000865,0.002395881,0.015481321,0.03700405,0.021033735,"5595","Y_1573",,1,
50,2014.413699,2014.912329,"Y","15-49","DHS","MW",0.5405530282,0.08392009347,0.6244731217,,0.1201001095,"N",,"N","","N","","None","None","N","","N",0.006400408,0.003787065,0.00459328,0.02838184,0.054012252,0.046407088,"5787","Y_1626",,0,
50,2016.639344,2017.109589,"Y","15-49","National survey","MW",0.56,0.067,0.628,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"7618","Y_1864",,1,
50,2017.747945,2018.243836,"Y","15-49","DHS","MW",0.5189375588,0.09952345062,0.6184610094,,0.1199055455,"N",,"N","","N","","None","None","N","","N",0.00554988,0.00255942,0.003463319,0.023826267,0.030734234,0.031121416,"7475","Y_1800",,0,
50,2019.049315,2019.413699,"Y","15-49","MICS","MW",0.591144407180642,0.0358732923156459,0.627017699496288,,0.1368997889,"N",,"N","","N","","None","None","N","","Y",0.00277043954538076,0.000997994939176619,,0.011695397199248,0.0294179987406327,,"7575","Y_1844",,1,
50,2022.581,2022.99726,"Y","15-49","DHS","MW",0.547,0.093,0.64,,0.1,"N",,"N","","N","","None","None","N","","N",,,,,,,"","",,0,
51,1991,1991,"Y","15-49","National survey","MW",0.252,0.308,0.56,,,"N",,"Y","Data pertain to Yerevan.","N","","?","None","N","","N",,,,,,,"5084","Y_1399",,1,
51,2000.748634,2000.997268,"Y","15-49","DHS","MW",0.2225455733,0.3826186172,0.6051641905,,0.1806607655,"N",,"N","","N","","None","None","N","","N",0.007696317,0.009151819,0.006951294,0.050708328,0.04411587,0.056391589,"1848","Y_837",,0,
51,2005.665753,2005.99726,"Y","15-49","DHS","MW",0.1947972704,0.335886899,0.5306841694,,0.1934117881,"N",,"N","","N","","None","None","N","","N",0.008805317,0.010174037,0.009459245,0.063227948,0.051540404,0.06321745,"1843","Y_834",,0,
51,2010.747945,2010.99726,"Y","15-49","DHS","MW",0.268155655,0.2807148206,0.5488704756,,0.1349105577,"N",,"N","","N","","None","None","N","","N",0.013475088,0.010667985,0.008244419,0.07499327,0.058107057,0.072350098,"5046","Y_1382",,0,
51,2015.915068,2016.327869,"Y","15-49","DHS","MW",0.2799093638,0.2915826051,0.5714919688,,0.1250047529,"N",,"N","","N","","None","None","N","","N",0.008585844,0.008930389,0.006169811,0.045763841,0.046486081,0.06161063,"5806","Y_1634",,0,
52,1980,1981,"Y","15-49","Other","MW",0.446240093,0.0191933979,0.4654334909,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"108","Y_617",,1,
52,1988,1988,"Y","15-49","Other","MW",0.5335,0.0165,0.55,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"2778","Y_1014",,1,
52,2012.3306010929,2012.8306010929,"Y","15-49","MICS","MW",0.5538457469,0.03822275429,0.5920685012,,0.199,"N",,"N","","N","","None","None","N","","Y",0.0185487515855855,0.00658887464314503,0.0171182970951749,0.074662156209261,0.177255487097617,0.124255670874434,"4986","Y_76",,0,
56,1966,1966,"Y","15-49","National survey","MW",0.108,0.612,0.72,,,"N",,"Y","Data pertain to the Flemish population only.","N","","+","+","N","","N",,,,,,,"4955","Y_1316",,1,
56,1975,1976,"Y","15-49","National survey","MW",0.4785,0.3915,0.87,,,"N",,"Y","Data pertain to the Flemish population only.","N","","+","+","N","","N",,,,,,,"4956","Y_1317",,1,
56,1982,1983,"Y","15-49","National survey","MW",0.6318,0.1782,0.81,,,"N",,"Y","Data pertain to the Flemish population only.","N","","+","+","N","","N",,,,,,,"2725","Y_978",,1,
56,1991.161644,1992.997268,"Y","15-49","Other","MW",0.7430012102,0.04086325131,0.7838644615,,0.034,"N",,"Y","Data pertain to the Flemish population only.","N","","+","+","N","","Y",,,,,,,"2803","Y_1038",,1,
56,1997,1997,"Y","15-49","National survey","SA",0.556,0.008,0.564,,,"N",,"N","","N","","-","None","N","","N",,,,,,,"4958","Y_1319",,1,
56,2001,2001,"Y","15-49","National survey","AL",0.5810951123,0.01158124174,0.592676354,,,"N",,"N","","N","","-","None","N","","N",,,,,,,"4957","Y_1318",,1,
56,2004,2004,"Y","15-49","National survey","AL",0.593,0.012,0.605,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"4959","Y_1320",,1,
56,2008.084699,2010.410959,"Y","15-49","Other","MW",0.728,0.009,0.737,,,"N",,"N","","N","","+","+","N","","Y",,,,,,,"5427","Y_1508",,1,
56,2013,2013.99726,"Y","15-49","National survey","MW",0.6590758983,0.00845576508,0.6675316634,,,"N",,"N","","N","","-","None","N","","N",,,,,,,"7346","Y_1770",,1,
56,2018.580822,2018.99726,"Y","15-49","National survey","MW",0.654,0.013,0.667,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"7499","Y_1815",,0,
64,1994.328767,1994.493151,"Y","15-49","National survey","AL",0.188,,0.188,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"39","Y_1237",,1,
64,2000,2000,"Y","15-49","National survey","MW",0.307,,0.307,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"630","Y_1699",,0,
64,2007.186301,2007.347945,"Y","15-49","National survey","AL",0.354,,,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"4464","Y_1249",,1,
64,2010.246575,2010.643836,"Y","15-49","MICS","MW",0.6538392636,0.0022017043,0.6560409679,,0.117,"N",,"N","","N","","None","None","N","","Y",0.0065213,0.000602,0.005781274,0.028619376,0.271710608,0.049946915,"4989","Y_1346",,1,
68,1983,1983,"Y","15-49","Other","EM",0.099,0.137,0.236,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"2709","Y_972",,1,
68,1989.161644,1989.578082,"Y","15-49","DHS","MW",0.1224721146,0.1802923434,0.3027644579,,0.357,"N",,"N","","N","","None","None","N","","N",,,,,,,"1768","Y_760",,1,
68,1993.832877,1994.410959,"Y","15-49","DHS","MW",0.1778006253,0.2754245161,0.4532251415,,0.2888754129,"N",,"N","","N","","None","None","N","","N",0.008243571,0.007710769,0.00847741,0.060874296,0.04248878,0.042991408,"1769","Y_761",,0,
68,1998.161644,1998.745205,"Y","15-49","DHS","MW",0.2521416154,0.2311550301,0.4832966455,,0.265551806,"N",,"N","","N","","None","None","N","","N",0.007246148,0.006501171,0.006754971,0.041257076,0.039616034,0.039987399,"1766","Y_758",,0,
68,2000.620219,2000.871585,"Y","15-49","MICS","MW",0.3049482773,0.2294456612,0.5343939386,,,"N",,"N","","N","","None","None","N","","N",0.011711004,0.009379604,0,0.05954835,0.057260145,,"1930","Y_898",,1,
68,2003.580822,2004.081967,"Y","15-49","DHS","MW",0.3491178631,0.234435196,0.5835530592,,0.2282551584,"N",,"N","","N","","None","None","N","","N",0.009282989,0.007977802,0.00637132,0.040225965,0.043412542,0.041626442,"1844","Y_835",,0,
68,2008.084699,2008.494536,"Y","15-49","DHS","MW",0.3456356995,0.2606618493,0.6062975488,,0.2012933457,"N",,"N","","N","","None","None","N","","N",0.008140032,0.006877745,0.005885171,0.038647811,0.038078944,0.040366804,"4492","Y_1252",,0,
68,2016.336066,2016.745902,"Y","15-49","National survey","MW",0.451,0.213,0.665,,0.232,"N",,"N","","N","","None","None","N","","N",,,,,,,"7485","Y_1808",,1,
70,1970,1970,"Y","15-49","National survey","AL",0.031,0.398,0.429,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"2676","Y_969",,1,
70,2000.63388,2000.800546,"Y","15-49","MICS","MW",0.1622516556,0.3123039387,0.4745555943,,,"N",,"N","","N","","None","None","N","","Y",0.007931914,0.013066091,0,0.065014904,0.066635312,,"2894","Y_1114",,1,
70,2006.36712328767,2006.52054794521,"Y","15-49","MICS","MW",0.1128308818,0.2442575232,0.357088405,,,"N",,"N","","N","","None","None","N","","Y",0.00890526904132968,0.0161458360124709,,0.0969619553226337,0.0935901587549013,,"2296","Y_111",,1,
70,2011.83287671233,2012.24590163934,"Y","15-49","MICS","MW",0.1213809947,0.3387933083,0.4601743031,,0.09,"N",,"N","","N","","None","None","N","","N",0.00866379017647313,0.0161701262829447,0.0157857167038404,0.0927019741898254,0.0804391412485303,0.0747811428213528,"4990","Y_112",,0,
72,1984.163934,1984.497268,"Y","15-49","Other","MW",0.186,0.007,0.193,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"826","Y_1967",,1,
72,1988.581967,1988.997268,"Y","15-49","DHS","MW",0.317,0.013,0.33,,0.269,"N",,"N","","N","","None","None","N","","N",,,,,,,"1803","Y_798",,1,
72,1996,1996,"Y","15-49","National survey","MW",0.4565423141,0.00696944667,0.4720554417,,,"N",,"N","","N","","None","None","N","","N",,,,,,,"113","Y_623",,0,
72,2000.39071,2000.579235,"Y","15-49","MICS","MW",0.421,0.023,0.444,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"1927","Y_895",,1,
72,2007.665753,2008.081967,"Y","15-49","MICS","MW",,,0.697,,0.096,"N",,"N","","N","","None","None","N","","N",,,,,,,"2951","Y_1155",,1,
72,2017.580822,2017.830137,"Y","15-49","National survey","MW",,,0.674,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"7666","Y_1887",,0,
76,1986.328767,1986.663014,"Y","15-49","DHS","MW",0.565226841,0.09665105229,0.6618778933,,0.128,"N",,"N","","N","","?","None","N","","N",,,,,,,"1869","Y_857",,1,
76,1996.163934,1996.494536,"Y","15-49","DHS","MW",0.7027654811,0.06459063103,0.7673561122,,0.1084937003,"N",,"N","","N","","None","None","N","","N",0.006788663,0.003613858,0.004164342,0.033630185,0.061979748,0.05204486,"1868","Y_856",,0,
76,2006.832877,2007.408219,"Y","15-49","National survey","MW",0.771,0.035,0.806,,0.06,"N",,"N","","N","","None","None","N","","N",,,,,,,"2952","Y_1156",,1,
76,2013,2013,"Y","15-49","National survey","MW",0.7767249424,0.02528005332,0.8020049957,,,"N",,"N","","N","","+","None","N","","N",,,,,,,"6006","Y_1667",,1,
76,2019.49589,2019.578082,"Y","15-49","National survey","SA",0.794535,0.00966,0.805,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"9106","Y_2010",,1,
84,1991.038356,1991.134247,"Y","15-49","Other","MW",0.431024646,0.03663188254,0.4687178815,,0.257,"N",,"N","","N","","?","None","N","","N",,,,,,,"779","Y_1922",,1,
84,1999.827397,1999.950685,"Y","15-49","National survey","MW",0.5095,0.0515,0.561,,0.208,"N",,"N","","N","","?","None","N","","N",,,,,,,"154","Y_652",,1,
84,2006.084932,2006.243836,"Y","15-49","MICS","AL",0.3142501738,0.02904621668,0.3432963904,,,"N",,"N","","N","","None","None","N","","Y",,,,,,,"2299","Y_947",,1,
84,2011.446575,2011.591781,"Y","15-49","MICS","MW",0.5198317898,0.03173681266,0.5515686025,,0.159,"N",,"N","","N","","None","None","N","","Y",0.013150234,0.00361143,0.00883782,0.054088398,0.121308024,0.064319466,"4988","Y_1345",,1,
84,2015.79726027397,2016.08196721311,"Y","15-49","MICS","MW",0.4845323448,0.02906429123,0.513596636,,0.222482739,"N",,"N","","N","","None","None","N","","N",0.0112020254900316,0.00390209612837896,0.0097817467560582,0.0458370815157719,0.141238161139909,0.0669913038367147,"5761","Y_92",,0,
90,2006.769863,2007.326027,"Y","15-49","DHS","MW",0.274,0.072,0.346,,0.111,"N",,"N","","N","","None","None","Y","Traditional methods include folk methods.","N",,,,,,,"2953","Y_1157",,0,
90,2015.260274,2015.712329,"Y","15-49","National survey","MW",0.243,0.05,0.293,,0.347,"N",,"N","","N","","None","None","N","","N",,,,,,,"7516","Y_1831",,1,
100,1976.833333,1976.997268,"Y","15-49","Other","MW",0.06,0.691,0.751,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"4961","Y_1321",,1,
100,1995,1995,"Y","15-49","National survey","MW",0.456,0.403,0.859,,,"N",,"N","","N","","?","None","N","","N",,,,,,,"2851","Y_1079",,1,
100,1997.832877,1998.243836,"Y","15-49","Other","MW",0.396,0.238,0.634,,0.297,"N",,"N","","N","","+","None","N","","Y",,,,,,,"2870","Y_1093",,1,
100,2004.833333,2005,"Y","15-49","Other","MW",0.368,0.276,0.644,,,"N",,"N","","N","","+","+","N","","Y",,,,,,,"5428","Y_1509",,1,
100,2007.246575,2007.493151,"Y","15-49","Other","MW",0.396,0.305,0.701,,,"N",,"N","","N","","+","-","N","","Y",,,,,,,"5429","Y_1510",,1,
